,dataset,C_value,precision,accuracy,recall,F1
0.1,train,0.1,0.8693550523109522,0.8742880783286217,0.8354970090365279,0.8520898234683281
0.2,train,0.2,0.8695580201953319,0.8744673515824313,0.8357197403589156,0.852303149286908
0.30000000000000004,train,0.30000000000000004,0.869812882927637,0.8745776735847756,0.8356879215985745,0.8524090031319473
0.4,train,0.4,0.8697552737026857,0.8745500930841895,0.8356879215985745,0.8523813387423934
0.5,train,0.5,0.8700145753279449,0.8746742053368268,0.8356879215985745,0.8525058426382757
0.6,train,0.6,0.8697264719517849,0.8745363028338964,0.8356879215985745,0.8523675072209781
0.7000000000000001,train,0.7000000000000001,0.8698704997847183,0.8746052540853616,0.8356879215985745,0.8524366693172782
0.8,train,0.8,0.870020200682187,0.8747707370888782,0.8359424716813033,0.8526409736308317
0.9,train,0.9,0.8698387470613556,0.8746604150865338,0.8358788341606211,0.8525207288776389
1.0,train,1.0,0.8700447093889717,0.8747707370888782,0.8359106529209622,0.852636191032569
