,dataset,max_depth,precision,accuracy,recall,F1
5,train,5,0.9077324870243645,0.9067641177687376,0.8736795214458445,0.890380530829969
10,train,10,0.9592518588882701,0.953292422257464,0.9318123965890289,0.9453330535694111
15,train,15,0.9842378940526487,0.9775494725229263,0.963631156930126,0.9738255249364931
20,train,20,0.994331828225574,0.9923464110873612,0.9879725085910653,0.9911419679195594
25,train,25,0.999426221669695,0.9987175067227471,0.9976135929744178,0.998519084698801
30,train,30,0.999968179214663,0.9999448389988278,0.9999045437189767,0.9999363604543864
35,train,35,1.0,1.0,1.0,1.0
40,train,40,1.0,1.0,1.0,1.0
45,train,45,1.0,1.0,1.0,1.0
50,train,50,1.0,1.0,1.0,1.0
55,train,55,1.0,1.0,1.0,1.0
60,train,60,1.0,1.0,1.0,1.0
65,train,65,1.0,1.0,1.0,1.0
70,train,70,1.0,1.0,1.0,1.0
75,train,75,1.0,1.0,1.0,1.0
80,train,80,1.0,1.0,1.0,1.0
85,train,85,1.0,1.0,1.0,1.0
90,train,90,1.0,1.0,1.0,1.0
95,train,95,1.0,1.0,1.0,1.0
100,train,100,1.0,1.0,1.0,1.0
